img_id,img_label,xmin,ymin,xmax,ymax
17,1,715,237,766,398
17,2,0,282,72,323
17,2,0,266,626,576
17,2,580,285,691,322
17,2,765,261,784,276
16,1,59,726,106,766
16,1,78,739,104,766
16,1,101,694,146,766
16,1,106,513,129,558
16,1,146,704,172,766
16,1,170,653,213,741
16,1,207,621,247,709
16,1,235,620,258,694
16,1,254,704,275,766
16,1,258,605,282,664
16,1,284,608,316,646
16,1,346,664,378,711
16,1,372,666,421,726
16,1,415,653,439,739
16,1,473,569,496,625
16,1,647,606,685,649
16,1,694,567,713,612
16,2,765,593,877,627
16,2,844,612,1022,698
18,1,401,49,409,76
18,1,414,38,427,76
18,1,444,44,455,87
18,1,638,44,696,192
18,1,694,33,737,148
18,1,948,59,1022,275
18,2,43,32,80,73
18,2,201,44,486,180
18,2,460,48,508,84
18,2,577,51,624,86
18,2,619,56,654,73
18,2,731,63,777,91
18,2,812,67,950,150
18,2,952,99,992,142
19,1,145,299,293,665
19,1,664,355,747,538
19,1,807,467,875,553
19,2,0,334,125,584
20,1,9,732,53,823
20,1,58,729,78,819
20,1,287,643,357,933
20,1,334,641,408,919
20,2,416,716,657,841
21,1,867,280,929,425
21,1,72,311,118,439
21,1,136,264,202,337
21,1,247,287,274,336
21,1,283,145,310,190
21,1,288,293,324,368
21,1,337,293,362,381
21,1,533,280,548,304
21,1,584,278,602,312
21,1,610,280,624,311
21,1,641,292,680,373
21,1,779,288,814,375
21,1,835,278,856,312
21,1,871,271,888,353
21,1,971,276,983,309
21,1,997,298,1023,519
21,2,0,300,59,351
21,2,932,288,987,310
22,1,0,312,27,410
22,1,10,308,57,408
22,1,51,311,85,356
22,1,267,310,316,376
22,1,302,317,344,381
22,1,537,313,558,374
22,1,557,313,574,377
22,1,587,397,645,430
22,1,588,312,615,371
22,1,617,312,638,367
22,1,640,320,676,370
22,1,671,308,696,367
22,1,698,308,721,366
22,1,827,408,911,588
22,1,871,313,881,334
22,1,880,416,954,604
22,1,885,315,894,333
22,1,903,360,958,408
22,1,904,316,914,334
22,1,981,423,1023,607
22,2,373,363,898,563
22,2,843,321,932,366
23,1,506,379,554,463
23,1,584,381,627,473
23,2,346,448,407,497
23,2,409,464,431,489
23,2,427,466,452,491
23,2,442,459,485,494
23,2,460,445,473,452
23,2,476,464,499,493
23,2,477,458,490,464
23,2,497,446,507,458
23,2,498,468,517,482
24,1,174,387,254,613
24,1,469,370,510,496
24,1,501,379,529,503
24,1,627,372,664,433
24,1,762,372,805,513
24,2,442,494,1022,678
25,1,159,170,388,887
25,1,366,184,566,886
25,2,533,352,767,858
26,1,115,0,205,169
26,1,208,0,323,127
26,1,316,0,399,99
26,1,467,0,531,113
26,1,549,43,591,112
26,1,607,0,765,208
26,1,700,147,837,290
26,2,41,13,965,680
27,1,10,697,112,768
27,1,240,640,346,752
27,1,322,589,442,749
27,1,589,537,728,708
27,1,864,561,977,715
27,2,140,257,497,361
27,2,992,189,1023,237
28,1,142,113,192,239
28,1,81,122,108,188
28,1,108,124,131,189
28,1,382,125,401,199
28,1,408,131,426,192
28,1,421,127,435,179
28,1,547,129,586,215
28,1,606,132,634,219
28,1,631,135,661,220
28,2,584,136,689,163
29,1,39,44,298,577
29,1,377,121,427,248
29,1,727,96,928,531
29,2,449,143,482,169
29,2,468,148,531,187
29,2,541,161,670,237
30,1,60,480,122,622
30,1,191,451,233,549
30,1,307,462,359,519
30,1,470,437,516,538
30,1,523,440,577,567
30,1,590,458,649,556
30,1,714,437,762,528
30,1,768,432,806,525
30,1,869,438,908,551
30,1,909,434,956,521
30,2,294,479,536,675
30,2,933,474,1023,613
31,1,307,335,364,465
31,1,382,337,441,464
31,1,461,357,517,475
31,1,499,324,569,488
31,1,600,340,654,459
31,2,0,268,595,767
31,2,0,268,597,767
31,2,110,383,130,399
31,2,112,384,130,397
31,2,760,323,945,501
31,2,762,320,944,501
31,2,952,343,1023,392
31,2,953,341,1023,392
32,1,663,272,691,353
32,1,679,262,701,347
32,1,684,271,704,366
32,1,700,261,728,371
32,1,707,271,741,384
32,1,727,256,742,287
32,1,732,283,757,372
32,1,737,258,751,291
32,1,742,312,791,367
32,1,750,259,784,376
32,1,752,266,758,283
32,1,759,265,766,276
32,1,792,275,868,456
32,1,869,251,954,567
32,2,293,274,437,372
32,2,423,283,451,338
32,2,423,285,456,347
32,2,442,280,462,317
32,2,447,288,460,315
32,2,455,284,477,309
32,2,458,283,475,309
32,2,478,278,493,299
32,2,478,278,493,298
32,2,492,271,535,305
32,2,493,272,531,305
34,1,54,146,132,347
34,1,0,72,49,339
34,1,0,22,48,124
34,1,117,91,273,348
34,1,238,14,316,149
34,1,307,101,387,228
34,1,368,100,458,255
34,1,451,42,800,476
34,2,0,33,115,131
34,2,32,13,126,62
34,2,419,27,903,215
34,2,707,24,831,64
34,2,914,86,1023,207
33,1,0,151,17,295
33,1,7,140,78,295
33,1,45,151,74,208
33,1,56,153,80,231
33,1,108,125,202,303
33,1,129,147,143,159
33,1,182,152,204,181
33,1,201,151,228,205
33,1,220,144,232,163
33,1,227,155,265,210
33,1,243,143,265,167
33,1,273,142,305,203
33,1,283,128,347,287
33,1,358,155,379,189
33,1,362,128,444,248
33,1,438,140,547,223
33,1,476,135,579,206
33,1,518,139,553,183
33,1,553,147,575,209
33,1,624,132,649,174
33,1,634,138,644,151
33,1,709,138,748,181
33,1,734,134,766,181
33,1,766,131,792,180
33,1,789,142,811,169
33,1,825,139,854,176
33,1,826,135,862,195
33,1,903,147,972,336
33,1,953,135,981,185
33,1,957,133,976,250
33,1,995,159,1016,185
33,2,0,287,253,490
33,2,129,214,977,554
33,2,180,207,300,299
33,2,424,161,479,194
33,2,540,139,625,195
33,2,599,191,860,283
33,2,703,181,908,269
33,2,963,234,1023,326
35,1,560,123,858,684
35,2,0,257,944,684
35,2,853,257,1023,410
36,1,714,0,951,411
36,2,1,2,730,560
36,2,397,0,1023,291
37,1,406,559,529,936
37,2,0,758,151,986
37,2,94,634,469,840
38,1,330,67,566,484
38,2,576,104,717,173
38,2,221,91,560,276
38,2,736,118,816,163
38,2,816,122,842,152
38,2,834,126,897,165
38,2,897,134,918,154
39,1,209,369,392,960
39,1,720,415,766,526
39,2,632,429,707,512
40,1,855,58,983,350
40,1,0,147,20,167
40,1,27,147,35,164
40,1,37,142,49,163
40,1,46,147,57,164
40,1,128,125,165,174
40,1,230,132,246,166
40,1,236,125,261,216
40,1,350,113,392,161
40,1,358,129,379,161
40,1,977,77,1023,143
40,2,0,163,270,330
40,2,17,145,1002,726
40,2,450,149,1023,350
40,2,832,132,1023,238
41,1,149,224,197,402
41,1,184,203,245,409
41,1,439,309,584,460
41,2,270,367,956,658
42,1,152,367,222,515
42,2,824,377,997,443
42,1,97,345,160,513
42,1,319,348,346,439
42,1,344,349,373,438
42,1,380,356,399,418
42,1,391,356,418,434
42,1,429,360,440,403
42,1,440,361,451,402
42,1,459,360,481,397
42,1,497,356,512,402
42,2,592,364,736,430
42,2,740,369,815,422
42,2,758,368,771,374
42,2,805,373,834,402
42,2,824,360,848,384
42,2,889,363,921,379
43,2,3,193,181,534
43,1,307,279,389,533
43,1,506,294,604,552
43,1,576,236,712,400
43,1,711,271,757,337
43,1,725,278,837,395
44,1,197,369,629,929
44,2,90,19,703,958
45,1,137,214,844,735
45,2,0,281,222,444
45,2,0,412,352,767
45,2,207,308,780,452
45,2,851,578,1023,767
45,2,955,345,1023,438
46,1,402,295,492,519
46,2,14,425,415,684
47,1,16,365,49,456
47,1,421,354,446,401
47,2,133,379,258,444
47,2,232,363,324,416
47,2,307,358,371,415
47,2,364,366,425,410
47,2,484,379,611,470
47,2,485,361,520,385
47,2,504,358,535,379
47,2,530,354,558,375
47,2,544,351,638,385
48,2,55,315,993,651
48,1,35,288,113,529
49,1,400,347,518,708
49,2,676,494,969,609
50,1,364,275,437,391
50,1,135,387,172,420
50,1,470,298,536,420
50,1,535,326,556,378
50,1,540,330,577,399
50,1,567,317,621,385
50,1,618,322,668,366
50,1,625,303,696,447
50,1,696,314,748,416
50,1,771,318,837,442
50,2,0,383,39,415
50,2,0,362,243,519
51,1,241,138,386,306
51,1,368,167,567,291
51,1,949,184,984,279
51,1,984,188,1007,299
51,1,997,204,1023,313
51,2,0,190,65,274
51,2,0,240,1007,565
51,2,23,182,112,242
51,2,856,190,912,270
51,2,894,184,997,249
52,1,213,421,383,977
52,1,168,465,262,764
52,1,205,478,219,508
52,1,316,425,409,581
52,1,393,456,488,771
52,2,0,476,23,514
52,2,8,483,90,530
52,2,159,474,199,507
53,2,469,241,1008,677
53,1,503,258,611,386
53,1,598,308,714,392
53,1,793,331,912,408
54,1,404,309,465,467
54,2,6,290,124,355
54,2,140,277,221,330
54,2,225,281,295,328
54,2,301,277,350,316
54,2,382,277,431,306
54,2,444,282,460,302
54,2,461,275,552,320
54,2,528,281,588,304
55,1,888,92,1020,229
55,2,58,159,972,708
55,1,37,195,55,231
55,1,92,142,152,285
55,1,118,168,147,268
55,1,266,146,299,238
55,1,277,148,330,264
55,1,352,190,375,209
55,1,438,156,467,176
55,1,463,138,499,220
55,1,497,125,547,209
55,1,625,140,645,146
55,1,729,126,743,141
55,1,758,132,771,140
55,1,773,84,832,216
55,1,830,116,871,182
55,1,872,111,922,189
55,2,26,143,254,299
55,2,308,207,472,255
55,2,496,140,1023,456
56,2,89,346,213,471
56,1,751,277,883,536
56,1,812,307,863,402
56,2,224,350,466,492
56,2,564,359,958,521
56,2,838,332,890,359
57,1,543,412,586,500
57,2,127,412,297,522
57,1,250,419,299,484
57,1,250,398,319,520
57,1,293,418,348,530
57,1,385,422,404,437
57,1,388,419,410,440
57,1,453,414,510,500
57,1,520,414,561,478
57,1,989,402,1019,459
57,1,1009,409,1023,462
57,2,0,418,54,498
58,1,0,64,44,497
58,1,7,42,133,343
58,1,330,126,342,153
58,1,337,121,355,154
58,1,361,113,375,146
58,1,394,111,414,140
58,1,396,62,494,152
58,1,832,133,865,170
58,2,15,134,339,376
58,2,17,46,986,651
59,1,389,264,735,547
59,2,0,0,1023,689
60,1,113,813,172,928
60,1,58,823,74,855
60,1,88,805,140,895
60,1,154,571,210,716
60,1,308,819,353,931
60,1,313,266,378,419
60,1,429,501,491,681
60,1,450,816,493,940
60,1,509,550,558,709
60,1,582,786,626,835
60,1,653,797,684,972
60,2,0,913,195,1023
60,2,0,837,283,1023
61,1,414,153,602,295
61,2,32,151,936,501
62,1,182,91,225,168
62,1,247,223,360,423
62,1,277,138,367,298
62,1,371,129,462,234
62,1,714,236,755,364
62,1,760,255,812,424
62,1,821,263,858,375
62,1,881,276,929,419
62,1,928,295,984,424
62,1,942,233,1013,419
62,1,993,272,1023,413
62,1,999,247,1008,267
62,2,7,253,94,330
63,1,732,53,922,595
63,2,0,185,775,679
64,1,769,361,871,606
64,1,0,408,45,556
64,1,39,411,70,551
64,1,58,399,94,543
64,1,79,397,140,556
64,1,145,404,180,551
64,1,180,425,217,547
64,1,216,408,255,551
64,1,248,415,279,545
64,1,279,404,315,543
64,1,309,417,350,551
64,1,337,405,364,536
64,1,364,400,414,551
64,1,392,401,430,471
64,1,423,387,466,441
64,1,466,387,513,431
64,1,511,378,561,433
64,1,640,363,673,424
64,1,662,358,717,490
64,2,359,426,735,606
65,1,69,355,159,602
65,1,412,365,452,459
65,1,464,378,490,456
65,1,509,377,533,456
65,1,536,359,571,474
65,1,560,349,609,484
65,1,603,349,648,496
65,1,653,346,739,508
65,2,232,357,410,499
66,1,367,779,430,905
66,1,108,797,143,856
66,1,148,802,181,839
66,1,164,784,216,891
66,1,199,802,225,870
66,1,248,793,291,879
66,1,290,788,332,844
66,1,323,786,362,872
66,2,0,921,104,1023
66,2,200,893,503,1023
66,2,424,870,707,1001
66,2,618,844,767,987
67,1,122,238,177,400
67,2,0,394,80,705
67,2,34,272,132,329
67,2,183,272,820,603
67,2,217,258,289,328
67,2,341,291,423,325
67,2,590,286,1023,503
67,2,906,268,1022,362
68,1,194,248,385,767
68,1,781,237,857,420
68,2,469,347,526,375
69,1,681,240,747,336
69,2,0,243,146,355
69,2,176,247,435,364
69,2,367,261,507,345
70,2,59,228,875,632
70,1,281,180,340,257
70,1,529,327,696,507
70,2,0,73,259,339
70,2,932,334,1022,766
71,1,78,356,160,540
71,1,288,419,348,484
71,1,342,368,420,548
71,1,547,364,608,567
71,1,742,369,772,409
71,2,601,326,894,633
72,1,0,0,116,125
72,2,0,0,682,671
73,2,94,528,547,759
73,1,39,492,71,572
73,1,69,498,103,562
73,1,120,507,168,600
73,1,128,488,156,531
73,1,163,482,220,585
73,1,199,480,238,535
73,1,204,301,298,450
73,1,472,503,522,592
73,1,497,508,545,686
73,1,526,492,593,684
73,1,590,549,657,681
73,1,734,518,812,767
73,1,796,514,872,708
73,1,924,481,963,575
74,1,215,153,463,439
74,2,0,154,582,906
75,2,602,744,710,860
75,1,611,712,628,746
75,1,630,695,656,736
75,1,640,744,687,832
75,1,646,700,679,753
76,2,76,389,358,568
76,1,179,384,259,621
76,1,597,412,697,602
76,1,723,406,840,562
76,2,343,410,453,496
77,1,618,192,682,346
77,1,142,375,193,528
77,2,0,358,151,445
77,2,24,348,222,460
77,2,389,345,462,430
78,1,401,311,481,508
78,1,93,353,143,494
78,1,453,309,497,491
78,1,907,357,940,454
78,1,924,355,983,476
78,2,616,339,643,360
78,2,646,344,664,366
78,2,663,339,701,381
78,2,714,337,792,399
79,1,436,124,554,374
79,2,840,110,1002,168
79,1,254,99,286,146
79,1,270,97,296,147
79,1,330,69,377,131
79,1,491,91,507,113
79,1,553,105,563,111
79,1,851,96,872,129
79,1,943,97,960,117
79,1,960,100,974,126
79,2,53,103,138,157
79,2,512,96,698,172
79,2,970,114,1023,160
79,2,977,126,1023,197
79,2,990,102,1023,127
80,2,639,582,943,768
80,1,0,448,331,1022
81,1,39,77,134,389
81,2,0,217,216,324
81,2,10,14,1002,664
82,2,313,278,535,413
82,1,687,232,846,495
83,1,80,62,334,782
83,1,274,64,661,891
83,2,0,13,767,627
84,1,168,199,433,753
84,2,36,524,687,686
85,1,7,259,47,364
85,1,326,240,421,436
85,2,95,252,257,318
85,2,570,217,952,409
86,1,45,58,255,380
86,1,334,63,572,373
86,2,122,19,477,283
87,1,633,518,738,723
87,2,10,482,201,630
88,1,163,156,556,980
88,1,0,466,69,757
88,2,597,636,682,753
89,1,577,319,661,600
89,1,454,348,513,589
89,2,894,356,1022,463
90,1,542,81,731,287
90,2,59,131,998,481
91,1,68,106,268,666
91,2,556,551,675,659
91,1,227,105,487,652
92,1,466,275,608,612
92,2,103,323,414,451
92,2,412,332,598,407
92,2,526,346,771,452
92,2,775,354,917,411
92,2,903,357,980,411
92,2,974,362,1023,410
93,2,65,32,1005,662
93,1,260,73,726,679
94,2,926,200,1022,348
94,1,37,179,94,372
94,1,55,185,154,396
94,1,159,179,206,384
94,1,253,179,332,381
94,1,438,179,497,393
94,1,792,152,887,407
94,1,820,177,945,419
94,1,867,167,929,400
95,2,521,123,929,404
95,1,296,74,565,680
95,1,881,158,1023,680
95,2,0,195,121,445
95,2,57,124,540,416
96,2,677,227,974,426
96,1,199,199,266,270
96,1,300,191,380,279
96,1,401,182,641,351
96,1,684,199,840,291
96,1,796,226,848,309
96,2,151,232,291,325
96,2,277,218,410,321
96,2,401,236,522,339
96,2,501,218,689,364
97,1,362,486,414,591
97,1,421,474,466,597
97,1,591,490,626,575
97,2,647,494,762,594
97,2,771,498,787,529
98,1,388,68,594,508
98,2,163,413,1016,682
99,1,508,87,664,596
99,2,66,277,1011,588
100,1,463,123,648,608
100,2,0,156,221,362
100,2,104,157,310,315
100,2,577,195,1023,502
100,2,594,231,649,260
100,2,639,251,698,265
100,2,694,247,735,269
101,1,0,284,31,327
101,1,99,279,131,338
101,1,145,275,184,353
101,1,469,238,611,472
101,2,535,245,1023,482
102,1,389,319,499,478
102,1,676,347,718,394
102,2,324,354,614,518
102,2,635,358,732,413
103,1,0,76,112,377
103,1,99,118,138,183
103,1,109,35,154,125
103,1,113,44,172,131
103,1,149,9,356,651
103,1,158,18,206,141
103,1,310,2,550,610
103,1,407,43,492,98
103,1,519,69,654,300
103,1,522,38,570,104
103,1,540,94,1023,684
103,1,600,0,900,469
103,1,820,33,971,435
103,1,922,37,988,129
103,1,980,38,1023,119
103,2,85,90,576,319
104,1,145,674,260,861
104,1,327,634,421,807
104,1,613,634,715,780
104,2,366,650,767,1023
105,1,489,266,562,459
105,1,577,255,619,409
105,2,0,336,448,540
106,1,835,283,897,387
106,1,0,233,32,367
106,1,46,253,96,347
106,1,223,233,357,575
106,1,371,237,455,551
106,1,702,265,723,387
106,1,949,281,965,344
106,2,174,237,482,447
106,2,513,272,697,394
107,1,344,249,782,548
107,1,737,0,860,139
107,2,0,177,1022,764
107,2,507,0,1022,241
108,1,150,133,237,325
108,1,364,205,418,328
108,2,0,282,112,493
108,2,273,326,613,596
108,2,771,193,1023,391
109,1,400,386,485,594
109,2,67,371,440,607
110,1,346,367,575,540
110,2,523,178,1022,575
111,1,366,32,742,636
111,2,275,0,413,75
111,2,298,0,519,90
111,2,629,0,705,10
111,2,965,0,1023,16
112,2,702,96,990,249
112,1,90,139,123,238
112,1,151,119,341,605
112,1,154,137,186,223
112,1,259,133,307,203
112,1,312,118,345,219
112,1,344,128,374,219
112,1,384,123,426,217
112,1,534,132,570,233
112,1,551,101,625,312
112,1,630,116,680,322
112,2,0,162,29,237
112,2,0,224,202,682
112,2,152,131,215,189
112,2,428,131,500,203
112,2,456,127,588,208
112,2,561,115,743,215
112,2,974,131,1023,291
113,1,592,132,693,278
113,2,109,191,908,616
113,1,0,163,77,398
113,1,232,152,274,225
113,1,572,155,594,183
113,1,911,171,947,245
113,1,915,160,945,237
113,1,945,161,973,241
113,1,983,161,1016,254
113,1,999,166,1023,247
113,2,24,186,232,303
113,2,197,177,294,223
113,2,360,138,678,192
113,2,385,182,806,325
113,2,897,163,999,224
114,1,191,0,340,205
114,1,303,197,691,744
114,1,597,0,728,94
114,2,0,78,1023,767
115,2,0,421,195,542
115,1,224,391,332,653
115,1,284,360,366,611
115,1,332,380,344,401
115,1,371,357,449,605
115,1,444,362,494,530
115,1,492,367,548,543
115,1,523,370,595,592
115,1,580,363,706,417
115,1,604,376,651,487
115,1,746,368,757,412
115,1,759,366,784,412
116,1,267,315,582,654
116,2,0,0,916,1022
117,1,276,229,538,679
117,2,542,341,1023,679
117,2,726,496,1023,679
118,1,150,237,175,263
118,1,344,267,360,288
118,1,502,281,565,349
118,1,611,296,683,363
118,1,701,304,734,335
118,1,772,291,787,308
118,1,842,283,848,349
118,1,846,280,869,360
118,1,888,214,927,417
118,1,913,229,951,424
118,1,930,151,1004,467
118,2,0,262,34,366
118,2,1,213,483,456
118,2,439,287,513,336
118,2,786,301,823,332
119,1,113,152,352,680
119,1,448,316,634,680
119,2,0,151,508,680
120,1,208,92,513,605
120,2,16,204,76,224
120,2,789,231,992,314
120,2,984,244,1023,261
121,1,854,301,940,520
121,2,904,483,1020,665
121,1,181,433,191,540
121,1,193,408,233,563
121,1,216,403,262,543
121,1,737,300,883,517
121,2,120,469,195,524
121,2,236,335,702,682
121,2,616,404,766,598
122,2,860,496,1016,663
122,1,40,477,98,695
122,1,77,484,129,682
122,1,167,468,213,667
122,1,177,476,211,509
122,1,207,477,238,515
122,1,238,478,277,513
122,1,247,478,320,684
122,1,252,468,304,513
122,1,312,470,367,518
122,1,387,478,412,518
122,1,432,479,506,666
122,1,552,470,629,672
122,1,663,451,744,679
122,1,759,487,817,679
122,2,0,510,85,673
123,1,362,278,467,561
123,2,40,253,301,408
123,1,732,217,752,258
123,1,779,212,803,253
124,1,48,473,123,678
124,1,164,199,287,797
124,1,371,318,495,762
124,1,532,473,579,613
124,1,576,476,621,616
124,1,644,494,665,552
124,2,0,503,143,611
124,2,512,497,526,507
125,1,0,182,18,416
125,1,762,182,795,261
125,1,808,173,922,300
125,1,814,197,843,220
125,1,835,176,872,207
125,1,898,140,1023,530
125,1,918,182,977,247
125,2,62,110,928,574
125,2,304,177,454,209
126,1,567,357,824,534
126,1,861,388,1021,513
126,2,0,705,74,767
126,2,0,455,200,663
128,1,0,0,357,682
128,1,758,146,785,194
128,1,784,2,828,211
128,1,938,87,1018,518
128,2,0,43,77,138
128,2,261,49,317,105
128,2,287,39,420,118
128,2,381,44,435,65
128,2,405,39,523,105
128,2,493,33,671,115
128,2,599,39,648,63
128,2,917,68,1023,174
127,1,0,121,58,343
127,1,37,133,84,300
127,1,83,151,112,267
127,1,102,158,113,220
127,1,113,165,160,296
127,1,202,153,234,219
127,1,222,155,258,208
127,1,255,151,275,203
127,1,277,152,288,169
127,1,286,151,297,198
127,1,288,148,330,207
127,1,317,152,326,167
127,1,323,158,334,176
127,1,347,156,363,181
127,1,361,157,368,172
127,1,363,153,386,178
127,1,378,156,391,173
127,1,389,156,402,170
127,1,398,153,426,176
127,1,416,156,426,170
127,1,439,158,446,176
127,1,444,157,451,172
127,1,447,160,458,176
127,1,455,126,515,224
127,1,458,154,463,165
127,1,497,156,513,194
127,1,506,153,520,191
127,1,515,145,547,206
127,1,542,160,554,191
127,1,551,162,558,191
127,1,560,160,566,191
127,1,565,160,574,192
127,1,600,156,624,231
127,1,608,149,656,235
127,1,634,148,658,213
127,1,654,150,667,213
127,1,659,131,702,226
127,1,698,154,709,171
127,1,721,137,730,156
127,1,738,135,748,160
127,1,762,145,766,158
127,1,776,166,802,270
127,1,787,150,827,284
127,1,813,140,842,275
127,1,896,142,906,154
127,1,904,157,1013,437
127,1,912,144,919,153
127,1,933,131,947,155
127,1,968,140,1023,361
127,2,30,260,924,530
127,2,103,216,752,360
127,2,152,174,589,295
129,1,0,32,311,682
129,1,488,74,1023,682
129,2,0,0,1023,682
129,2,390,372,402,384
129,2,481,370,517,393
130,2,44,135,1012,703
130,1,145,201,192,294
130,1,913,245,935,272
130,1,926,251,970,306
130,1,945,251,951,265
130,1,987,251,1016,310
130,2,957,254,998,309
131,2,199,220,1023,655
131,1,103,196,237,543
131,1,171,180,212,251
131,1,190,173,270,462
132,1,282,51,424,282
132,1,375,35,474,214
132,1,711,51,737,133
132,1,736,69,751,126
132,1,784,48,816,112
132,1,833,0,922,452
132,1,849,5,1020,500
132,2,89,157,822,730
132,2,594,104,862,254
133,1,364,385,520,554
133,1,428,457,511,536
133,2,0,332,1023,767
134,1,81,278,158,555
134,1,1,297,30,344
134,1,130,287,156,378
134,1,156,288,190,378
134,1,185,283,218,405
134,1,209,285,254,424
134,1,235,276,254,403
134,1,255,265,295,422
134,1,307,276,359,436
134,1,456,261,506,347
134,1,520,265,597,481
134,2,305,267,652,423
134,2,388,221,934,460
135,1,378,340,450,565
135,1,12,354,91,574
135,1,67,347,141,540
135,1,113,359,198,581
135,1,225,361,341,681
135,1,478,358,536,546
135,1,503,350,537,482
135,1,565,355,592,457
135,1,612,352,658,460
135,1,661,362,693,463
135,1,663,351,707,468
135,1,686,367,712,460
135,1,931,358,1023,613
135,2,0,555,97,684
135,2,469,358,670,439
135,2,764,378,867,478
135,2,794,389,1023,571
136,1,315,16,718,652
136,2,882,6,1023,115
136,2,0,0,33,28
136,2,36,0,135,124
136,2,126,0,433,185
136,2,369,0,455,37
136,2,437,0,739,127
136,2,608,0,774,87
137,1,677,184,801,481
137,1,780,250,865,422
137,2,0,268,192,631
137,2,154,320,491,573
137,2,547,329,659,418
138,2,122,152,917,638
138,1,0,96,51,469
138,1,327,180,422,335
138,2,1,144,148,311
138,2,971,157,1023,268
139,2,6,118,1020,926
139,1,0,135,46,470
139,1,0,99,137,500
139,1,89,145,137,208
139,1,123,134,225,344
139,1,270,86,369,244
139,1,347,120,473,280
139,1,379,144,417,166
139,1,593,199,715,288
139,1,769,187,932,300
140,2,43,23,990,757
140,1,0,0,60,200
140,1,119,87,259,179
140,1,306,0,392,176
140,1,450,0,595,156
140,1,577,0,631,111
140,1,652,0,769,159
140,1,920,0,1011,170
140,2,97,87,433,177
140,2,396,92,492,159
140,2,609,0,776,154
140,2,741,0,1002,156
140,2,876,0,1023,141
141,1,64,124,124,240
141,1,132,79,202,208
141,1,229,101,268,219
141,1,337,116,369,172
141,1,379,108,441,227
141,2,0,132,73,207
141,2,57,109,170,232
141,2,57,138,990,632
141,2,551,128,698,240
141,2,683,162,873,224
141,2,699,161,1023,396
142,1,0,546,249,1023
142,2,0,266,496,1023
142,2,238,231,496,446
143,1,0,135,58,494
143,1,0,208,64,524
143,1,228,136,278,238
143,1,265,141,323,229
143,1,326,147,353,216
143,1,437,125,536,231
143,1,538,130,577,208
143,1,558,109,632,231
143,1,686,108,723,218
143,1,699,81,800,302
143,1,810,165,889,351
143,1,853,152,885,346
143,1,881,103,970,366
143,1,946,80,1023,354
143,2,35,187,218,400
